Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-25 15:23:05.6506;106;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3636;ReceivingData
Sample;2021-01-25 15:23:05.6533;107;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3631;ReceivingData
Sample;2021-01-25 15:23:05.7716;156;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3343;ReceivingData
Sample;2021-01-25 15:23:05.7746;157;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3387;ReceivingData
Sample;2021-01-25 15:23:05.8957;209;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3467;ReceivingData
Sample;2021-01-25 15:23:05.8977;210;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3262;ReceivingData
Sample;2021-01-25 15:23:06.0223;271;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3077;ReceivingData
Sample;2021-01-25 15:23:06.0253;272;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3298;ReceivingData
Sample;2021-01-25 15:23:06.1490;335;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2821;ReceivingData
Sample;2021-01-25 15:23:06.1510;336;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2556;ReceivingData
Sample;2021-01-25 15:23:06.1530;337;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2411;ReceivingData
Sample;2021-01-25 15:23:06.2886;398;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2515;ReceivingData
Sample;2021-01-25 15:23:06.2916;399;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2474;ReceivingData
Sample;2021-01-25 15:23:06.4123;451;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2331;ReceivingData
Sample;2021-01-25 15:23:06.4143;452;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2358;ReceivingData
Sample;2021-01-25 15:23:06.5380;518;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2411;ReceivingData
Sample;2021-01-25 15:23:06.5400;519;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2365;ReceivingData
Sample;2021-01-25 15:23:06.6616;581;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2397;ReceivingData
Sample;2021-01-25 15:23:06.6636;582;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2082;ReceivingData
Sample;2021-01-25 15:23:06.7863;647;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2363;ReceivingData
Sample;2021-01-25 15:23:06.7883;648;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2543;ReceivingData
Sample;2021-01-25 15:23:06.9279;719;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2618;ReceivingData
Sample;2021-01-25 15:23:06.9299;720;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2860;ReceivingData
Sample;2021-01-25 15:23:07.0526;782;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2885;ReceivingData
Sample;2021-01-25 15:23:07.0546;783;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2732;ReceivingData
Sample;2021-01-25 15:23:07.1783;847;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3363;ReceivingData
Sample;2021-01-25 15:23:07.1806;848;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.3261;ReceivingData
Sample;2021-01-25 15:23:07.1826;849;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2623;ReceivingData
Sample;2021-01-25 15:23:07.3023;908;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2375;ReceivingData
Sample;2021-01-25 15:23:07.3043;909;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2510;ReceivingData
Sample;2021-01-25 15:23:07.4289;969;7a8c7f4574eb99f8363fe9b8de7aa55e;anonymous;0.2201;ReceivingData
