Event;Timestamp;Framecount;SessionID;Email;BCIConfidence;BCIState
Sample;2021-01-25 15:29:27.5291;101;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2251;ReceivingData
Sample;2021-01-25 15:29:27.5340;102;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2208;ReceivingData
Sample;2021-01-25 15:29:27.5370;103;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2111;ReceivingData
Sample;2021-01-25 15:29:27.5402;104;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2386;ReceivingData
Sample;2021-01-25 15:29:27.5422;105;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2420;ReceivingData
Sample;2021-01-25 15:29:27.5452;106;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2641;ReceivingData
Sample;2021-01-25 15:29:27.5472;107;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2700;ReceivingData
Sample;2021-01-25 15:29:27.5532;108;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2404;ReceivingData
Sample;2021-01-25 15:29:27.5602;109;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2208;ReceivingData
Sample;2021-01-25 15:29:27.5676;110;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2525;ReceivingData
Sample;2021-01-25 15:29:27.5751;111;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2533;ReceivingData
Sample;2021-01-25 15:29:27.5812;112;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2306;ReceivingData
Sample;2021-01-25 15:29:27.5892;113;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2344;ReceivingData
Sample;2021-01-25 15:29:27.5942;114;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2556;ReceivingData
Sample;2021-01-25 15:29:27.6022;115;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3230;ReceivingData
Sample;2021-01-25 15:29:27.6089;116;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4219;ReceivingData
Sample;2021-01-25 15:29:27.6163;117;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4544;ReceivingData
Sample;2021-01-25 15:29:27.6193;118;7b38f0c796a4069a4297af7f198927d2;anonymous;0.5018;ReceivingData
Sample;2021-01-25 15:29:27.6228;119;7b38f0c796a4069a4297af7f198927d2;anonymous;0.5180;ReceivingData
Sample;2021-01-25 15:29:27.6288;120;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4649;ReceivingData
Sample;2021-01-25 15:29:27.6682;125;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4398;ReceivingData
Sample;2021-01-25 15:29:27.6741;126;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4168;ReceivingData
Sample;2021-01-25 15:29:27.8031;170;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3409;ReceivingData
Sample;2021-01-25 15:29:27.8051;171;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2503;ReceivingData
Sample;2021-01-25 15:29:27.9268;229;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2039;ReceivingData
Sample;2021-01-25 15:29:27.9288;230;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1998;ReceivingData
Sample;2021-01-25 15:29:28.0524;289;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1605;ReceivingData
Sample;2021-01-25 15:29:28.0544;290;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1500;ReceivingData
Sample;2021-01-25 15:29:28.1771;350;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1839;ReceivingData
Sample;2021-01-25 15:29:28.1791;351;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2105;ReceivingData
Sample;2021-01-25 15:29:28.3033;415;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1969;ReceivingData
Sample;2021-01-25 15:29:28.3053;416;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1774;ReceivingData
Sample;2021-01-25 15:29:28.4435;488;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1798;ReceivingData
Sample;2021-01-25 15:29:28.4455;489;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1769;ReceivingData
Sample;2021-01-25 15:29:28.5686;552;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1795;ReceivingData
Sample;2021-01-25 15:29:28.5716;553;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1813;ReceivingData
Sample;2021-01-25 15:29:28.5736;554;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2023;ReceivingData
Sample;2021-01-25 15:29:28.6943;620;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1704;ReceivingData
Sample;2021-01-25 15:29:28.6953;621;7b38f0c796a4069a4297af7f198927d2;anonymous;0.1918;ReceivingData
Sample;2021-01-25 15:29:28.8180;683;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2247;ReceivingData
Sample;2021-01-25 15:29:28.8200;684;7b38f0c796a4069a4297af7f198927d2;anonymous;0.2705;ReceivingData
Sample;2021-01-25 15:29:28.9446;748;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3352;ReceivingData
Sample;2021-01-25 15:29:28.9456;749;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4694;ReceivingData
Sample;2021-01-25 15:29:29.0833;818;7b38f0c796a4069a4297af7f198927d2;anonymous;0.5274;ReceivingData
Sample;2021-01-25 15:29:29.0853;819;7b38f0c796a4069a4297af7f198927d2;anonymous;0.5427;ReceivingData
Sample;2021-01-25 15:29:29.2109;886;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4343;ReceivingData
Sample;2021-01-25 15:29:29.2139;887;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4343;ReceivingData
Sample;2021-01-25 15:29:29.3346;952;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4582;ReceivingData
Sample;2021-01-25 15:29:29.3366;953;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4424;ReceivingData
Sample;2021-01-25 15:29:29.4588;1016;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4252;ReceivingData
Sample;2021-01-25 15:29:29.4608;1017;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4323;ReceivingData
Sample;2021-01-25 15:29:29.4618;1018;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4378;ReceivingData
Sample;2021-01-25 15:29:29.5846;1082;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4376;ReceivingData
Sample;2021-01-25 15:29:29.5876;1083;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4701;ReceivingData
Sample;2021-01-25 15:29:29.7102;1146;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4236;ReceivingData
Sample;2021-01-25 15:29:29.7122;1147;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4853;ReceivingData
Sample;2021-01-25 15:29:29.8497;1220;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4869;ReceivingData
Sample;2021-01-25 15:29:29.8517;1221;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4595;ReceivingData
Sample;2021-01-25 15:29:29.9744;1286;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4258;ReceivingData
Sample;2021-01-25 15:29:29.9764;1287;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3648;ReceivingData
Sample;2021-01-25 15:29:30.0992;1351;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3515;ReceivingData
Sample;2021-01-25 15:29:30.1002;1352;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3711;ReceivingData
Sample;2021-01-25 15:29:30.2229;1415;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3897;ReceivingData
Sample;2021-01-25 15:29:30.2249;1416;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4146;ReceivingData
Sample;2021-01-25 15:29:30.3496;1483;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4032;ReceivingData
Sample;2021-01-25 15:29:30.3516;1484;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3528;ReceivingData
Sample;2021-01-25 15:29:30.4932;1561;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3390;ReceivingData
Sample;2021-01-25 15:29:30.4942;1562;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3387;ReceivingData
Sample;2021-01-25 15:29:30.4962;1563;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3415;ReceivingData
Sample;2021-01-25 15:29:30.6149;1636;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3349;ReceivingData
Sample;2021-01-25 15:29:30.6169;1637;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3844;ReceivingData
Sample;2021-01-25 15:29:30.7415;1715;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4144;ReceivingData
Sample;2021-01-25 15:29:30.7435;1716;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3989;ReceivingData
Sample;2021-01-25 15:29:30.8652;1792;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4137;ReceivingData
Sample;2021-01-25 15:29:30.8662;1793;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4352;ReceivingData
Sample;2021-01-25 15:29:30.9909;1869;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4634;ReceivingData
Sample;2021-01-25 15:29:30.9918;1870;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4439;ReceivingData
Sample;2021-01-25 15:29:31.1142;1945;7b38f0c796a4069a4297af7f198927d2;anonymous;0.5271;ReceivingData
Sample;2021-01-25 15:29:31.1152;1946;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4793;ReceivingData
Sample;2021-01-25 15:29:31.2557;2030;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4544;ReceivingData
Sample;2021-01-25 15:29:31.2567;2031;7b38f0c796a4069a4297af7f198927d2;anonymous;0.3928;ReceivingData
Sample;2021-01-25 15:29:31.3827;2107;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4087;ReceivingData
Sample;2021-01-25 15:29:31.3837;2108;7b38f0c796a4069a4297af7f198927d2;anonymous;0.4167;ReceivingData
