Event;Timestamp;Framecount;SessionID;Email;BCIState;InputWindow;InputWindowOrder;InterTrialTimer;InputWindowTimer;GameState;CurrentFabAlarm;AccInputTrialsLeft;AccInputRate;FabInputTrialsLeft;FabInputRate;RejInputTrialsLeft;RejInputRate;AssistSuccessTrialsLeft;AssistSuccessRate;AssistFailTrialsLeft;AssistFailRate;ExplicitShamTrialsLeft;ExplicitShamRate;TrialResult;TrialGoal;BCIConfidence;InputNumber
InputWindowChange;2021-01-26 10:55:01.3192;15936;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;16;-24.8048;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3000;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:01.3202;15936;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;16;-24.8048;0.0000;Running;1.4638;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;RejInput;AccInput;NULL;NULL
MotorImagery;2021-01-26 10:55:05.7186;16255;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7150;20
Rest;2021-01-26 10:55:05.8483;16263;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6669;20
InputWindowChange;2021-01-26 10:55:12.1484;16735;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;17;-24.8048;0.0000;Running;2.7985;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:55:14.9471;16932;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;17;-25.9777;0.0000;Running;2.7985;7;0.3500;3;0.1500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:14.9481;16932;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;17;-25.9777;0.0000;Running;2.7985;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
InputWindowChange;2021-01-26 10:55:24.6007;17625;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;18;-25.9777;0.0000;Running;1.5843;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
InputWindowChange;2021-01-26 10:55:26.1675;17739;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;18;-28.3927;0.0000;Running;1.5843;7;0.3500;2;0.2000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:26.1675;17739;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;18;-28.3927;0.0000;Running;1.5843;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
MotorImagery;2021-01-26 10:55:32.9464;18240;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7536;21
Rest;2021-01-26 10:55:33.1994;18258;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6968;21
MotorImagery;2021-01-26 10:55:33.2163;18259;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7092;22
Rest;2021-01-26 10:55:33.6751;18292;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6968;22
InputWindowChange;2021-01-26 10:55:36.5333;18499;6f2da200587eab71c487654822b331d6;anonymous;NULL;Open;19;-28.3927;0.0000;Running;2.7567;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
MotorImagery;2021-01-26 10:55:38.0802;18610;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.7180;23
Rest;2021-01-26 10:55:38.2767;18623;6f2da200587eab71c487654822b331d6;anonymous;ReceivingData;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0.6953;23
InputWindowChange;2021-01-26 10:55:39.2703;18697;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;19;-29.6352;0.0000;Running;2.7567;7;0.3500;1;0.2500;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
GameDecision;2021-01-26 10:55:39.2703;18697;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;19;-29.6352;0.0000;Running;2.7567;7;0.3500;0;0.3000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;FabInput;FabInput;NULL;NULL
GameStopped;2021-01-26 10:55:45.5465;19137;6f2da200587eab71c487654822b331d6;anonymous;NULL;Closed;20;0.0000;0.0000;Stopped;2.7567;7;0.3500;0;0.3000;0;0.3500;0;0.0000;0;0.0000;0;0.0000;NA;NULL;NULL;NULL
